timestamp,date,day_of_month,hour_of_day,equipment_id,consumption_kwh
2025-06-11 00:00:00+00:00,2025-06-11,11,0,SMV340202,17.316055971
2025-06-12 00:00:00+00:00,2025-06-12,12,0,SMV340202,16.975591854999998
2025-06-13 00:00:00+00:00,2025-06-13,13,0,SMV340202,0.0
2025-06-14 00:00:00+00:00,2025-06-14,14,0,SMV340202,17.697661999
2025-06-15 00:00:00+00:00,2025-06-15,15,0,SMV340202,0.0
2025-06-16 00:00:00+00:00,2025-06-16,16,0,SMV340202,16.411796639
2025-06-17 00:00:00+00:00,2025-06-17,17,0,SMV340202,0.0
2025-06-18 00:00:00+00:00,2025-06-18,18,0,SMV340202,17.637192
2025-06-19 00:00:00+00:00,2025-06-19,19,0,SMV340202,17.555141357
2025-06-20 00:00:00+00:00,2025-06-20,20,0,SMV340202,16.731704459
2025-06-21 00:00:00+00:00,2025-06-21,21,0,SMV340202,17.064974673000002
2025-06-22 00:00:00+00:00,2025-06-22,22,0,SMV340202,17.272238129
2025-06-23 00:00:00+00:00,2025-06-23,23,0,SMV340202,16.806878530000002
2025-06-24 00:00:00+00:00,2025-06-24,24,0,SMV340202,16.499658924
2025-06-25 00:00:00+00:00,2025-06-25,25,0,SMV340202,16.895831722
2025-06-26 00:00:00+00:00,2025-06-26,26,0,SMV340202,17.042217087
2025-06-27 00:00:00+00:00,2025-06-27,27,0,SMV340202,16.686281138
2025-06-28 00:00:00+00:00,2025-06-28,28,0,SMV340202,16.970021899
2025-06-29 00:00:00+00:00,2025-06-29,29,0,SMV340202,16.909166123
2025-06-30 00:00:00+00:00,2025-06-30,30,0,SMV340202,0.0
2025-07-01 00:00:00+00:00,2025-07-01,1,0,SMV340202,16.607329017
2025-07-02 00:00:00+00:00,2025-07-02,2,0,SMV340202,0.0
2025-06-03 00:00:00+00:00,2025-06-03,3,0,SMV340203,0.0
2025-06-04 00:00:00+00:00,2025-06-04,4,0,SMV340203,18.553353876000003
2025-06-05 00:00:00+00:00,2025-06-05,5,0,SMV340203,13.287820577
2025-06-06 00:00:00+00:00,2025-06-06,6,0,SMV340203,18.773110808000002
2025-06-07 00:00:00+00:00,2025-06-07,7,0,SMV340203,18.738850536
2025-06-08 00:00:00+00:00,2025-06-08,8,0,SMV340203,14.484756385
2025-06-09 00:00:00+00:00,2025-06-09,9,0,SMV340203,0.0
2025-06-10 00:00:00+00:00,2025-06-10,10,0,SMV340203,0.0
2025-06-11 00:00:00+00:00,2025-06-11,11,0,SMV340203,18.057004677000002
2025-06-12 00:00:00+00:00,2025-06-12,12,0,SMV340203,17.498494296
2025-06-13 00:00:00+00:00,2025-06-13,13,0,SMV340203,0.0
2025-06-14 00:00:00+00:00,2025-06-14,14,0,SMV340203,17.976286194
2025-06-15 00:00:00+00:00,2025-06-15,15,0,SMV340203,0.0
2025-06-16 00:00:00+00:00,2025-06-16,16,0,SMV340203,17.224801527
2025-06-17 00:00:00+00:00,2025-06-17,17,0,SMV340203,0.0
2025-06-18 00:00:00+00:00,2025-06-18,18,0,SMV340203,18.833502869
2025-06-19 00:00:00+00:00,2025-06-19,19,0,SMV340203,18.701704905
2025-06-20 00:00:00+00:00,2025-06-20,20,0,SMV340203,17.795597021000003
2025-06-21 00:00:00+00:00,2025-06-21,21,0,SMV340203,18.203056666000002
2025-06-22 00:00:00+00:00,2025-06-22,22,0,SMV340203,17.822736564
2025-06-23 00:00:00+00:00,2025-06-23,23,0,SMV340203,19.007353651000003
2025-06-24 00:00:00+00:00,2025-06-24,24,0,SMV340203,20.555852957
2025-06-25 00:00:00+00:00,2025-06-25,25,0,SMV340203,20.621934009
2025-06-26 00:00:00+00:00,2025-06-26,26,0,SMV340203,20.747529275
2025-06-27 00:00:00+00:00,2025-06-27,27,0,SMV340203,20.216708341
2025-06-28 00:00:00+00:00,2025-06-28,28,0,SMV340203,20.722609906000002
2025-06-29 00:00:00+00:00,2025-06-29,29,0,SMV340203,20.662251638999997
2025-06-30 00:00:00+00:00,2025-06-30,30,0,SMV340203,19.282828763
2025-07-01 00:00:00+00:00,2025-07-01,1,0,SMV340203,20.394850475
2025-07-02 00:00:00+00:00,2025-07-02,2,0,SMV340203,21.004522133
2025-06-03 00:00:00+00:00,2025-06-03,3,0,SMV340204,23.209424002
2025-06-04 00:00:00+00:00,2025-06-04,4,0,SMV340204,23.447658671000003
2025-06-05 00:00:00+00:00,2025-06-05,5,0,SMV340204,22.64487978
2025-06-06 00:00:00+00:00,2025-06-06,6,0,SMV340204,22.805497744
2025-06-07 00:00:00+00:00,2025-06-07,7,0,SMV340204,23.174838817
2025-06-08 00:00:00+00:00,2025-06-08,8,0,SMV340204,24.097492306
2025-06-09 00:00:00+00:00,2025-06-09,9,0,SMV340204,0.0
2025-06-10 00:00:00+00:00,2025-06-10,10,0,SMV340204,0.0
2025-06-11 00:00:00+00:00,2025-06-11,11,0,SMV340204,23.988168666
2025-06-12 00:00:00+00:00,2025-06-12,12,0,SMV340204,16.459862266000002
2025-06-13 00:00:00+00:00,2025-06-13,13,0,SMV340204,0.0
2025-06-14 00:00:00+00:00,2025-06-14,14,0,SMV340204,24.646667604999998
2025-06-15 00:00:00+00:00,2025-06-15,15,0,SMV340204,0.0
2025-06-16 00:00:00+00:00,2025-06-16,16,0,SMV340204,22.895565511
2025-06-17 00:00:00+00:00,2025-06-17,17,0,SMV340204,0.0
2025-06-18 00:00:00+00:00,2025-06-18,18,0,SMV340204,23.825623891
2025-06-19 00:00:00+00:00,2025-06-19,19,0,SMV340204,23.612022100999997
2025-06-20 00:00:00+00:00,2025-06-20,20,0,SMV340204,23.240954778
2025-06-21 00:00:00+00:00,2025-06-21,21,0,SMV340204,23.840699037
2025-06-22 00:00:00+00:00,2025-06-22,22,0,SMV340204,24.175918766
2025-06-23 00:00:00+00:00,2025-06-23,23,0,SMV340204,23.498984081
2025-06-24 00:00:00+00:00,2025-06-24,24,0,SMV340204,0.0
2025-06-25 00:00:00+00:00,2025-06-25,25,0,SMV340204,24.185862871
2025-06-26 00:00:00+00:00,2025-06-26,26,0,SMV340204,23.766909166
2025-06-27 00:00:00+00:00,2025-06-27,27,0,SMV340204,23.170982155999997
2025-06-28 00:00:00+00:00,2025-06-28,28,0,SMV340204,23.504003977
2025-06-29 00:00:00+00:00,2025-06-29,29,0,SMV340204,27.061617558000002
2025-06-30 00:00:00+00:00,2025-06-30,30,0,SMV340204,27.578813773
2025-07-01 00:00:00+00:00,2025-07-01,1,0,SMV340204,13.800748621
2025-07-02 00:00:00+00:00,2025-07-02,2,0,SMV340204,26.631540882
2025-06-03 00:00:00+00:00,2025-06-03,3,0,SMV340205,22.016507259
2025-06-04 00:00:00+00:00,2025-06-04,4,0,SMV340205,22.282449077000003
2025-06-05 00:00:00+00:00,2025-06-05,5,0,SMV340205,22.470999586999998
2025-06-06 00:00:00+00:00,2025-06-06,6,0,SMV340205,22.437052527
